,pot_name,vac_formen
0,milady_lml,3.160649064257541
1,qSNAPJunction110BulkMD_Lam0_500_LamS_1,3.5855477003779015
2,qSNAPJunction110BulkMDVacNEB_Lam0_500_LamS_1,3.155756582065351
3,qSNAPJunction100BulkMDVacNEB_Lam0_500_LamS_1,3.142409136472452
4,qSNAPJunction100BulkMD_Lam0_500_LamS_1,3.0139672547679766
5,qSNAPJunction110VacMD_Lam0_500_LamS_1,3.3057877961564373
6,qSNAPJunction110BulkMDVacNEBSegregation_Lam0_500_LamS_1,3.143058466418097
7,qSNAPScrewBulkMDVacNEB_Lam0_500_LamS_1,3.1501548243832076
8,qSNAPJunction100VacMD_Lam0_500_LamS_1,2.8273937968947394
9,qSNAPScrewBulkMD_Lam0_500_LamS_1,2.850089802425373
10,qSNAPScrewVacMD_Lam0_500_LamS_1,2.8348632626239123
